Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
790000,2016-03-17,Bass Hill,1,4,2,556,House,9069,24388,2.0,155.2,20.43,9250.0,790000.0,900000.0,13.92,570.0,725000.0,470.0,12.0,14.3,70.0,40.0
2890000,2016-03-18,Northbridge,2,5,3,903,House,6347,60060,2.0,155.2,6.03,6500.0,3000000.0,3500000.0,16.67,1200.0,1100000.0,675.0,0.0,15.4,35.0,15.0
1800000,2016-03-18,Alexandria,2,3,2,145,House,8262,69732,2.0,155.2,5.06,8500.0,1600000.0,1850000.0,15.63,850.0,745000.0,625.0,1.0,12.8,15.0,10.0
732000,2016-03-18,Wetherill Park,2,3,1,553,House,6127,25688,2.0,155.2,28.94,6250.0,760000.0,980000.0,28.95,500.0,525000.0,430.0,2.0,18.2,75.0,45.0
580000,2016-03-18,Woodcroft,2,3,1,200,House,6440,40768,2.0,155.2,32.83,6500.0,710000.0,810000.0,14.08,490.0,725000.0,520.0,2.0,8.4,65.0,40.0
2055000,2016-03-19,Avalon Beach,3,5,2,718,House,9905,43628,2.0,155.2,28.35,10000.0,1900000.0,2250000.0,18.42,850.0,790000.0,550.0,0.0,8.6,95.0,55.0
1930000,2016-03-19,Russell Lea,2,3,2,369,House,5001,47684,2.0,155.2,6.33,5250.0,1850000.0,2400000.0,29.73,880.0,810000.0,530.0,5.0,15.7,30.0,15.0
1740000,2016-03-19,Croydon,2,4,2,468,House,10612,34996,2.0,155.2,8.77,11000.0,1400000.0,1800000.0,28.57,690.0,710000.0,480.0,3.0,17.0,22.0,20.0
1500000,2016-03-19,Russell Lea,1,2,2,334,House,5001,47684,2.0,155.2,6.33,5250.0,1850000.0,2400000.0,29.73,880.0,810000.0,530.0,5.0,15.7,30.0,15.0
1435500,2016-03-19,Eastlakes,1,3,3,468,House,6912,25740,2.0,155.2,7.32,7250.0,1450000.0,1650000.0,13.79,750.0,590000.0,475.0,20.0,11.4,30.0,20.0
1390000,2016-03-19,Croydon,1,3,1,701,House,10612,34996,2.0,155.2,8.77,11000.0,1400000.0,1800000.0,28.57,690.0,710000.0,480.0,3.0,17.0,22.0,20.0
1219000,2016-03-19,Mascot,2,3,1,251,House,14772,41912,2.0,155.2,9.35,15000.0,1250000.0,1600000.0,28.0,710.0,815000.0,690.0,2.0,12.0,15.0,20.0
1365000,2016-03-20,Petersham,1,3,2,279,House,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
2650000,2016-03-21,Putney,2,4,2,674,House,4107,44876,2.0,155.2,10.51,4500.0,2150000.0,2550000.0,18.6,920.0,725000.0,580.0,0.0,15.1,40.0,25.0
1150000,2016-03-21,Ermington,3,4,2,524,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
925000,2016-03-21,Picnic Point,3,5,2,350,House,6160,40560,2.0,155.2,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
600000,2016-03-21,Kingswood,0,0,0,871,Land,9301,33228,2.0,155.2,46.09,9500.0,620000.0,740000.0,19.35,390.0,420000.0,360.0,11.0,11.0,60.0,50.0
920000,2016-03-22,Bass Hill,2,6,3,556,House,9069,24388,2.0,155.2,20.43,9250.0,790000.0,900000.0,13.92,570.0,725000.0,470.0,12.0,14.3,70.0,40.0
935000,2016-03-23,Revesby,1,3,1,790,House,14176,31616,2.0,155.2,20.44,14500.0,940000.0,1100000.0,17.02,590.0,715000.0,475.0,11.0,12.3,30.0,35.0
867000,2016-03-23,Revesby,2,4,2,575,House,14176,31616,2.0,155.2,20.44,14500.0,940000.0,1100000.0,17.02,590.0,715000.0,475.0,11.0,12.3,30.0,35.0
689000,2016-03-23,Revesby,2,3,1,220,House,14176,31616,2.0,155.2,20.44,14500.0,940000.0,1100000.0,17.02,590.0,715000.0,475.0,11.0,12.3,30.0,35.0
2450000,2016-03-24,Birchgrove,3,4,0,230,House,3303,78780,2.0,155.2,2.94,3500.0,2100000.0,2800000.0,33.33,950.0,1300000.0,625.0,0.0,11.3,20.0,12.0
